url,title,nodes_number
https://www.youtube.com/watch?v=3ugO9ftG3uA,Александр Сахнов: задача о пустых полках в супермаркете,6
https://www.youtube.com/watch?v=UnhkAPWGeW0,Что можно делать со списками? Методы списков в Python | Аналитик данных | karpov.courses,11
https://www.youtube.com/watch?v=ku6dJLg72NY,"Объединение данных, метод merge | Аналитик данных | karpov.courses",14
https://www.youtube.com/watch?v=1tVxbVPVG6k,Валерий Бабушкин: зачем и куда ушёл из Facebook? | Интервью | karpov.courses,18
https://www.youtube.com/watch?v=u-xjI5etUlM,Дарья Яковлева о работе в Google и машинном обучении ВКонтакте | Интервью | karpov.courses,18
https://www.youtube.com/watch?v=0KNYqt2kuqs,"Василий Сабиров — мы делали так, чтобы пользователю было классно, но недолго | Подкаст",17
https://www.youtube.com/watch?v=taNM2CIjizE,Выбираем нужный JOIN | Симулятор SQL | karpov.courses,14
https://www.youtube.com/watch?v=36N_hqQExKA,Николай Дубовик — как оставить свой бизнес и стать инженером данных | Подкаст | karpov.courses,17
https://www.youtube.com/watch?v=54rqEzgWsgE,Middle Data Scientist | Выпуск 1. Секция ML | Собеседование | karpov.courses,13
https://www.youtube.com/watch?v=0f5YzgnobNA,Redash | Симулятор SQL | karpov.courses,9
https://www.youtube.com/watch?v=TQeAFXn_hNI,Анализ Retention | Симулятор SQL | karpov.courses,15
https://www.youtube.com/watch?v=DmetraJABBU,О разнице зарплат аналитиков в России и за рубежом | Валерий Бабушкин | karpov.courses,7
https://www.youtube.com/watch?v=2Obawm2vzDo,Как проходить собеседования аналитику данных? | Анатолий Карпов | Голосовой чат | karpov.courses,17
https://www.youtube.com/watch?v=VWOge47iwOM,"Влад Прищепов – аналитик, который хотел в продакты | Подкаст | karpov.courses",15
https://www.youtube.com/watch?v=9W1v-DkXriY,Роман Бунин — Что общего между инженерами и программистами? | Подкаст | karpov.courses,19
https://www.youtube.com/watch?v=c8jI0c66fuo,Лёша Синельников — как долго искать себя и найти в CPA-трафике | Подкаст | karpov.courses,20
https://www.youtube.com/watch?v=YsR_bWQUDsQ,"Алина Гребёнкина — как сделать так, чтобы разработчики использовали Kotlin | Подкаст |karpov.courses",18
https://www.youtube.com/watch?v=l7Hcgm-q4AI,Start ML: преподаватели о каждом модуле | karpov.courses,11
https://www.youtube.com/watch?v=i63LwXHzQOg,Сергей Скворцов — от увлечения железом до программирования беспилотников | Подкаст | karpov.courses,19
https://www.youtube.com/watch?v=k5lIzSTsNY4,"Основатели Experiment Fest об образовании, анализе данных и бизнесе | Интервью | karpov.courses",20
https://www.youtube.com/watch?v=0CBVqWSO1K4,Из автомеханика в аналитики | Подкаст | karpov.courses,17
https://www.youtube.com/watch?v=GO9Gu_hfoD4,Оконные функции RANK и LAG | Симулятор SQL | karpov.courses,15
